scenario,total_ead,baseline_ecl,stressed_ecl,average_pd,average_lgd,ecl_increase,ecl_increase_pct,ecl_rate
adverse,18331901726.45,1206035616.289273,1865956508.931441,0.18321911009226535,0.5754087316144493,659920892.642168,54.71819270749323,0.10178739427994885
baseline,18331901726.45,1206035616.289273,1206035616.289273,0.1271304432489141,0.5432452730970159,0.0,0.0,0.06578889818884184
covid_like,18331901726.45,1206035616.289273,2913460395.908163,0.26174888184628975,0.6167145430666325,1707424779.61889,141.57332972240818,0.1589284319424703
gfc_like,18331901726.45,1206035616.289273,2206643349.3722157,0.21012814221193554,0.5891773354318437,1000607733.0829427,82.96668187641171,0.12037176405917464
mild,18331901726.45,1206035616.289273,1481749795.1899738,0.15149203917102014,0.5570138769144103,275714178.9007008,22.86119706389911,0.08082902784996092
severe,18331901726.45,1206035616.289273,2398487618.1345673,0.22413636812637452,0.5983196883665937,1192452001.8452942,98.87369707324459,0.13083681409190262
