risk_band,loans,total_ead,average_pd,average_lgd,total_ecl,covid_ecl,ecl_share_pct,covid_incremental_ecl
Very Low,3411,10913661147.42,0.043180600869039826,0.5426885812593651,246439885.46341786,724956903.5891063,20.433881233264355,478517018.12568843
Low,419,1642597575.8500001,0.07660113646169966,0.5365500723833061,66558898.20464061,196088030.18436846,5.518816965740103,129529131.97972785
Medium,450,1645627169.88,0.10998807577239124,0.5480425455670568,95464960.1475438,281417822.6780408,7.915600406667103,185952862.530497
High,503,1787989398.29,0.15988717971002134,0.5431164432648754,145668268.9804711,431144008.7185454,12.078272566167062,285475739.7380743
Very High,723,2342026435.01,0.5403560571162618,0.546855499585701,651903603.4931997,1279853630.7381022,54.05342882816139,627950027.2449025
